book_id,book_title,strategy,canonical_node_id,canonical_source_key,canonical_node_type,canonical_title,canonical_parent_id,canonical_order,coverage_status,linked_current_section_ids,linked_current_count,linked_actions
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:cb7ab7ca5a1482a2,cb7ab7ca5a1482a2,section,Diferentes ordens de Espíritos,o-livro-dos-espiritos:chapter:4a7586bee3a51565,32,covered,[4191],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:56956d1982806155,56956d1982806155,section,Escala espírita,o-livro-dos-espiritos:chapter:4a7586bee3a51565,33,covered,[4192],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:902491b971ec7953,902491b971ec7953,section,Terceira ordem – Espíritos imperfeitos,o-livro-dos-espiritos:chapter:4a7586bee3a51565,34,covered,[4193],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:595bfbb3f2d01e65,595bfbb3f2d01e65,section,Segunda ordem – Bons Espíritos,o-livro-dos-espiritos:chapter:4a7586bee3a51565,35,covered,[4194],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:c05e53894280b35e,c05e53894280b35e,section,Primeira Ordem – Espíritos puros,o-livro-dos-espiritos:chapter:4a7586bee3a51565,36,covered,[4195],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:518d77310533f5b2,518d77310533f5b2,section,Progressão dos Espíritos,o-livro-dos-espiritos:chapter:4a7586bee3a51565,37,covered,[4196],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:5eb83ed8dd360709,5eb83ed8dd360709,section,Anjos e demônios,o-livro-dos-espiritos:chapter:4a7586bee3a51565,38,covered,[4197],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:chapter:c5dea371968b57af,c5dea371968b57af,chapter,Da encarnação dos Espíritos,o-livro-dos-espiritos:division:20ca3a4d1b9795b2,39,covered,[4198],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:d5756c37f84f451c,d5756c37f84f451c,section,Objetivo da encarnação,o-livro-dos-espiritos:chapter:c5dea371968b57af,40,covered,[4199],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:9747ad34f814e1ee,9747ad34f814e1ee,section,A alma,o-livro-dos-espiritos:chapter:c5dea371968b57af,41,covered,[4200],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:a21109031efa7f44,a21109031efa7f44,section,Materialismo,o-livro-dos-espiritos:chapter:c5dea371968b57af,42,covered,[4201],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:chapter:c37ec5f131ccad39,c37ec5f131ccad39,chapter,"Da volta do Espírito, extinta a vida corpórea, à vida espiritual",o-livro-dos-espiritos:division:20ca3a4d1b9795b2,43,covered,[4202],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:8668b32e34d99e27,8668b32e34d99e27,section,"A alma após a morte, sua individualidade. Vida eterna",o-livro-dos-espiritos:chapter:c37ec5f131ccad39,44,covered,[4203],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:bc47f7c7ef4d7f99,bc47f7c7ef4d7f99,section,Separação da alma e do corpo,o-livro-dos-espiritos:chapter:c37ec5f131ccad39,45,covered,[4204],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:accd480ba10e514f,accd480ba10e514f,section,Perturbação espiritual,o-livro-dos-espiritos:chapter:c37ec5f131ccad39,46,covered,[4205],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:chapter:d4e7ef1f4ae78d93,d4e7ef1f4ae78d93,chapter,Da pluralidade das existências,o-livro-dos-espiritos:division:20ca3a4d1b9795b2,47,covered,[4206],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:f58c3fdcee27f162,f58c3fdcee27f162,section,A reencarnação,o-livro-dos-espiritos:chapter:d4e7ef1f4ae78d93,48,covered,[4207],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:9f31dcbf65b822bc,9f31dcbf65b822bc,section,Justiça da reencarnação,o-livro-dos-espiritos:chapter:d4e7ef1f4ae78d93,49,covered,[4208],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:9cb67401ccf0b315,9cb67401ccf0b315,section,Encarnação nos diferentes mundos,o-livro-dos-espiritos:chapter:d4e7ef1f4ae78d93,50,covered,[4209],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:7ca038dcc3f96b91,7ca038dcc3f96b91,section,Transmigrações progressivas,o-livro-dos-espiritos:chapter:d4e7ef1f4ae78d93,51,covered,[4210],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:454114085bccca65,454114085bccca65,section,Sorte das crianças depois da morte,o-livro-dos-espiritos:chapter:d4e7ef1f4ae78d93,52,covered,[4211],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:54413ba9d6215c09,54413ba9d6215c09,section,Sexos nos Espíritos,o-livro-dos-espiritos:chapter:d4e7ef1f4ae78d93,53,covered,[4212],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:95c3281bb251f370,95c3281bb251f370,section,"Parentesco, filiação",o-livro-dos-espiritos:chapter:d4e7ef1f4ae78d93,54,covered,[4213],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:c6ba1093822abee7,c6ba1093822abee7,section,Parecenças físicas e morais,o-livro-dos-espiritos:chapter:d4e7ef1f4ae78d93,55,covered,[4214],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:9cf75f20d8694837,9cf75f20d8694837,section,Ideias inatas,o-livro-dos-espiritos:chapter:d4e7ef1f4ae78d93,56,covered,[4215],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:chapter:107a6b5c0c461c16,107a6b5c0c461c16,chapter,Considerações sobre a pluralidade das existências,o-livro-dos-espiritos:division:20ca3a4d1b9795b2,57,multiple-current-records,"[4216, 4217]",2,"{""keep"": 1, ""split"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:chapter:d30952b47f4ea17f,d30952b47f4ea17f,chapter,Da vida espírita,o-livro-dos-espiritos:division:20ca3a4d1b9795b2,58,multiple-current-records,"[4218, 4225]",2,"{""keep"": 1, ""split"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:ba14a0660fcb6a67,ba14a0660fcb6a67,section,Espíritos errantes,o-livro-dos-espiritos:chapter:d30952b47f4ea17f,59,covered,[4219],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:8072049a59ae2088,8072049a59ae2088,section,Mundos transitórios,o-livro-dos-espiritos:chapter:d30952b47f4ea17f,60,covered,[4220],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:e9c2b2edfcbe0bc6,e9c2b2edfcbe0bc6,section,"Percepções, sensações e sofrimentos dos Espíritos",o-livro-dos-espiritos:chapter:d30952b47f4ea17f,61,covered,[4221],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:a8def8a3e1698c75,a8def8a3e1698c75,section,Ensaio teórico da sensação nos Espíritos,o-livro-dos-espiritos:chapter:d30952b47f4ea17f,62,covered,[4222],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:3b7d85819a5ad978,3b7d85819a5ad978,section,Escolha das provas,o-livro-dos-espiritos:chapter:d30952b47f4ea17f,63,covered,[4223],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:9d4cc803c6779464,9d4cc803c6779464,section,As relações no além-túmulo,o-livro-dos-espiritos:chapter:d30952b47f4ea17f,64,covered,[4224],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:409fef0d24a4496f,409fef0d24a4496f,section,Relações de simpatia e de antipatia entre os Espíritos. Metades eternas,o-livro-dos-espiritos:chapter:d30952b47f4ea17f,65,missing-current-unit,[],0,{}
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:d70bebcb0f947a7e,d70bebcb0f947a7e,section,Recordação da existência corpórea,o-livro-dos-espiritos:chapter:d30952b47f4ea17f,66,covered,[4226],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:5907b72503715c4b,5907b72503715c4b,section,Comemoração dos mortos. Funerais,o-livro-dos-espiritos:chapter:d30952b47f4ea17f,67,covered,[4227],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:chapter:8ca1225ae9943fd1,8ca1225ae9943fd1,chapter,Da volta do Espírito à vida corporal,o-livro-dos-espiritos:division:20ca3a4d1b9795b2,68,covered,[4228],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:450b9643d755446c,450b9643d755446c,section,Prelúdio da volta,o-livro-dos-espiritos:chapter:8ca1225ae9943fd1,69,covered,[4229],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:a9bb848afa81a2a1,a9bb848afa81a2a1,section,União da alma e do corpo,o-livro-dos-espiritos:chapter:8ca1225ae9943fd1,70,covered,[4230],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:4ead136f4600fc88,4ead136f4600fc88,section,Faculdades morais e intelectuais do homem,o-livro-dos-espiritos:chapter:8ca1225ae9943fd1,71,covered,[4231],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:2417c1f7bd00cb43,2417c1f7bd00cb43,section,Influência do organismo,o-livro-dos-espiritos:chapter:8ca1225ae9943fd1,72,covered,[4232],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:a1dc5aa96d3c2c79,a1dc5aa96d3c2c79,section,"Idiotismo, loucura",o-livro-dos-espiritos:chapter:8ca1225ae9943fd1,73,covered,[4233],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:4f911ca0d4cab845,4f911ca0d4cab845,section,A infância,o-livro-dos-espiritos:chapter:8ca1225ae9943fd1,74,covered,[4234],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:2861ddb73f68e4e1,2861ddb73f68e4e1,section,Simpatia e antipatia terrenas,o-livro-dos-espiritos:chapter:8ca1225ae9943fd1,75,covered,[4235],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:e69d3686e0e0318e,e69d3686e0e0318e,section,Esquecimento do passado,o-livro-dos-espiritos:chapter:8ca1225ae9943fd1,76,covered,[4236],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:chapter:d46c925f0d53d40f,d46c925f0d53d40f,chapter,Da emancipação da alma,o-livro-dos-espiritos:division:20ca3a4d1b9795b2,77,covered,[4237],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:e9e470c3c53e7719,e9e470c3c53e7719,section,O sono e os sonhos,o-livro-dos-espiritos:chapter:d46c925f0d53d40f,78,covered,[4238],1,"{""keep"": 1}"
