book_id,book_title,section_id,sec_position,kind,part_title,chapter_label,chapter_title,section_title,record_title,stored_word_count,calculated_word_count,content_character_count,paragraph_block_count,normalized_content_md5
1,O Livro dos Espíritos,4187,45,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO I,Dos Espíritos,Origem e natureza dos Espíritos,Origem e natureza dos Espíritos,647,664,3857,18,1c6c2d24dbaa866c45b3864d6987f2eb
1,O Livro dos Espíritos,4188,46,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO I,Dos Espíritos,Mundo normal primitivo,Mundo normal primitivo,156,163,1020,8,f65030523ee558b940aa86f478fcef1b
1,O Livro dos Espíritos,4189,47,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO I,Dos Espíritos,Forma e ubiquidade dos Espíritos,Forma e ubiquidade dos Espíritos,414,430,2457,17,556266bdcfc3b87b0b1cc64c3cdf4c32
1,O Livro dos Espíritos,4190,48,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO I,Dos Espíritos,Perispírito,Perispírito,178,186,1172,9,3ce593fa334731a00b13b660fac57f47
1,O Livro dos Espíritos,4191,49,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO I,Dos Espíritos,Diferentes ordens de Espíritos,Diferentes ordens de Espíritos,262,270,1626,9,2ba19ee2fab020838ad5b9b5a89c61c0
1,O Livro dos Espíritos,4192,50,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO I,Dos Espíritos,Escala espírita,Escala espírita,693,697,4407,5,e9b2dc770d026373f4e9243a74c041db
1,O Livro dos Espíritos,4193,51,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO I,Dos Espíritos,Terceira ordem – Espíritos imperfeitos,Terceira ordem – Espíritos imperfeitos,960,976,6046,17,10eba7e6cfb45925d1cfdb73fb39817c
1,O Livro dos Espíritos,4194,52,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO I,Dos Espíritos,Segunda ordem – Bons Espíritos,Segunda ordem – Bons Espíritos,536,546,3282,11,e74c0e6bac24c7061dd4e9e133765407
1,O Livro dos Espíritos,4195,53,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO I,Dos Espíritos,Primeira Ordem – Espíritos puros,Primeira Ordem – Espíritos puros,207,210,1327,4,a982b0413abff6bf64b0264dc786952e
1,O Livro dos Espíritos,4196,54,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO I,Dos Espíritos,Progressão dos Espíritos,Progressão dos Espíritos,1157,1193,7121,37,32d2d62b67ba54d20679c04a4c6e2c75
1,O Livro dos Espíritos,4197,55,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO I,Dos Espíritos,Anjos e demônios,Anjos e demônios,980,995,5886,16,7ef70fc5fe66b0fe7a9ed6bda7a41f9a
1,O Livro dos Espíritos,4198,56,chapter_intro,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO II,Da encarnação dos Espíritos,null,CAPÍTULO II — Da encarnação dos Espíritos,7,9,48,1,60bdc642f64ec4aaccea9248e10c4119
1,O Livro dos Espíritos,4199,57,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO II,Da encarnação dos Espíritos,Objetivo da encarnação,Objetivo da encarnação,278,283,1672,6,507186ee4ad5267e2718458b9cbb0bce
1,O Livro dos Espíritos,4200,58,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO II,Da encarnação dos Espíritos,A alma,A alma,1337,1383,8035,47,486f160f8310d5fa755e56e088ca0229
1,O Livro dos Espíritos,4201,59,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO II,Da encarnação dos Espíritos,Materialismo,Materialismo,1053,1060,6197,8,e5db897b6d80476d0e4c92655e6c6d23
1,O Livro dos Espíritos,4202,60,chapter_intro,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO III,"Da volta do Espírito, extinta a vida corpórea, à vida espiritual",null,"CAPÍTULO III — Da volta do Espírito, extinta a vida corpórea, à vida espiritual",18,20,111,1,63a1734b38311aff7c470346b432cb52
1,O Livro dos Espíritos,4203,61,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO III,"Da volta do Espírito, extinta a vida corpórea, à vida espiritual","A alma após a morte, sua individualidade. Vida eterna","A alma após a morte, sua individualidade. Vida eterna",549,566,3378,18,7723270d9e55fa481ac7e18b5ee6aa1a
1,O Livro dos Espíritos,4204,62,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO III,"Da volta do Espírito, extinta a vida corpórea, à vida espiritual",Separação da alma e do corpo,Separação da alma e do corpo,1009,1031,6042,23,e881cac24d841f656db5217c514207f3
1,O Livro dos Espíritos,4205,63,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO III,"Da volta do Espírito, extinta a vida corpórea, à vida espiritual",Perturbação espiritual,Perturbação espiritual,706,716,4205,11,f0a71299d63fa4327edc7508425ffb65
1,O Livro dos Espíritos,4206,64,chapter_intro,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO IV,Da pluralidade das existências,null,CAPÍTULO IV — Da pluralidade das existências,29,37,235,1,e916819ec8f0c5d39823cca65feadfdf
